# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	FAT SN106 nano-FTIR
# Description:	 	Si Reference Spectrum B
# Date:	 	01/18/2018 12:22:16
# Scanner Center Position (X, Y):	[µm]	53.04	47.42	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	2048
# Interferometer Center/Distance:	[µm]	400.000	600.000	 
# Averaging:	 	4	 	 
# Integration time:	[ms]	10	 	 
# Laser Source:	 	
# Target Wavelength:	[µm]	10.000	 	 
# Demodulation Mode:	 	0
# Tip Frequency:	[Hz]	260,752.434	 	 
# Tip Amplitude:	[mV]	74.500	 	 
# Tapping Amplitude:	[nm]	75.505	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	80.15	 	 
# Regulator (P, I, D):	 	5.666896	11.826090	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	44.147	 	 
# Mirror Motor Position (X, Y, Z):	[µm]	-1.15	1.07	-0.08
# Version:	 	1.7.3630.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	34	71.0923004958333	37.67896	-2.044485	6.803749	0.6357822	1.643307	0.4896661	0.3415807	0.594128	0.2971116	0.2541593	0	0	
0	0	35	73.1832505104167	62.06291	2.960329	6.764623	-0.2049277	1.441962	-0.3868211	0.4070914	-0.1066834	0.4756372	-0.5712694	0	0	
0	0	36	75.274200525	68.6468	2.141465	6.75826	-1.053368	1.258595	-1.314064	0.5301763	-0.8662038	0.6215677	-1.307931	0	0	
0	0	37	77.3651505395833	56.4763	1.654765	6.803129	-1.900622	1.133942	-2.283528	0.6820827	-1.646594	0.7088867	-2.009288	0	0	
0	0	38	79.4561005541667	55.58686	1.686541	6.891438	-2.738768	1.085031	3.025505	0.8273168	-2.427498	0.7272686	-2.685926	0	0	
0	0	39	81.54705056875	93.10883	1.47607	6.998978	2.719255	1.096033	2.092788	0.9302632	3.078504	0.6827545	2.94617	0	0	
0	0	40	83.6380005833333	140.4386	0.8900123	7.099732	1.906305	1.135405	1.222673	0.9636192	2.302641	0.5949803	2.324317	0	0	
0	0	41	85.7289505979167	175.5346	0.1832193	7.174652	1.10162	1.178493	0.4104042	0.915283	1.522293	0.4895144	1.730015	0	0	
0	0	42	87.8199006125	188.1218	-0.562139	7.211742	0.3002589	1.214272	-0.3585341	0.7918593	0.7266714	0.3867683	1.142356	0	0	
0	0	43	89.9108506270833	175.9048	-1.318155	7.20131	-0.5018641	1.241075	-1.099146	0.61832	-0.1072935	0.2937757	0.5062532	0	0	
